Timestamp,Acc_X,Acc_Y,Acc_Z,Latitude,Longitude
2026-06-18T10:16:11.244913,+0.21,-0.10,-0.97,51.538591,-0.010107
2026-06-18T10:16:11.304746,+0.21,-0.11,-0.98,51.538591,-0.010107
2026-06-18T10:16:11.394832,+0.21,-0.11,-0.97,51.538591,-0.010107
2026-06-18T10:16:11.456592,+0.22,-0.11,-0.98,51.538591,-0.010107
2026-06-18T10:16:11.514848,+0.23,-0.10,-0.97,51.538591,-0.010107
2026-06-18T10:16:11.574706,+0.22,-0.10,-0.97,51.538591,-0.010107
2026-06-18T10:16:11.637743,+0.21,-0.09,-0.98,51.538591,-0.010107
2026-06-18T10:16:11.729551,+0.21,-0.11,-0.98,51.538591,-0.010107
2026-06-18T10:16:11.786822,+0.21,-0.11,-0.98,51.538591,-0.010107
2026-06-18T10:16:11.845112,+0.21,-0.11,-0.98,51.538591,-0.010107
2026-06-18T10:16:11.905220,+0.21,-0.09,-0.98,51.538591,-0.010107
2026-06-18T10:16:11.965206,+0.21,-0.09,-0.98,51.538591,-0.010107
2026-06-18T10:16:12.055245,+0.20,-0.11,-0.97,51.538591,-0.010107
2026-06-18T10:16:12.115556,+0.21,-0.09,-0.99,51.538591,-0.010107
2026-06-18T10:16:12.175613,+0.19,-0.08,-0.98,51.538591,-0.010107
2026-06-18T10:16:12.235549,+0.21,-0.09,-0.98,51.538591,-0.010107
2026-06-18T10:16:12.295983,+0.25,-0.08,-0.97,51.538591,-0.010107
2026-06-18T10:16:12.386244,+0.28,-0.12,-0.97,51.538591,-0.010107
2026-06-18T10:16:12.445087,+0.22,-0.11,-0.97,51.538591,-0.010107
2026-06-18T10:16:12.506111,+0.24,-0.04,-1.01,51.538591,-0.010107
2026-06-18T10:16:12.565361,+0.22,-0.09,-0.96,51.538591,-0.010107
2026-06-18T10:16:12.626120,+0.24,-0.09,-0.98,51.538591,-0.010107
2026-06-18T10:16:12.715217,+0.21,-0.09,-0.99,51.538591,-0.010107
2026-06-18T10:16:12.775010,+0.17,-0.17,-0.96,51.538591,-0.010107
2026-06-18T10:16:12.834984,+0.20,-0.15,-0.96,51.538591,-0.010107
2026-06-18T10:16:12.896181,+0.22,-0.10,-0.99,51.538591,-0.010107
2026-06-18T10:16:12.955824,+0.24,-0.10,-0.97,51.538591,-0.010107
2026-06-18T10:16:13.046411,+0.21,-0.14,-0.97,51.538591,-0.010107
2026-06-18T10:16:13.106197,+0.21,-0.13,-0.98,51.538591,-0.010107
2026-06-18T10:16:13.166607,+0.23,-0.11,-0.97,51.538591,-0.010107
2026-06-18T10:16:13.257506,+0.20,-0.12,-0.97,51.538591,-0.010107
2026-06-18T10:16:13.316522,+0.21,-0.08,-0.99,51.538591,-0.010107
2026-06-18T10:16:13.376701,+0.17,-0.07,-0.99,51.538591,-0.010107
2026-06-18T10:16:13.435074,+0.19,-0.04,-0.99,51.538591,-0.010107
2026-06-18T10:16:13.495757,+0.21,-0.04,-0.99,51.538591,-0.010107
2026-06-18T10:16:13.585028,+0.18,-0.05,-1.01,51.538591,-0.010107
2026-06-18T10:16:13.645184,+0.23,-0.08,-0.98,51.538591,-0.010107
2026-06-18T10:16:13.705547,+0.24,-0.10,-0.97,51.538591,-0.010107
2026-06-18T10:16:13.780814,+0.21,-0.08,-0.98,51.5387966,-0.0093467
2026-06-18T10:16:13.826319,+0.22,-0.04,-0.99,51.5387966,-0.0093467
2026-06-18T10:16:13.919165,+0.19,-0.08,-0.98,51.5387966,-0.0093467
2026-06-18T10:16:13.975632,+0.25,-0.04,-0.99,51.5387966,-0.0093467
