Timestamp,Acc_X,Acc_Y,Acc_Z,Latitude,Longitude
2026-06-18T10:32:52.748678,+0.15,-0.18,-0.97,51.5392404,-0.0132296
2026-06-18T10:32:52.809342,+0.15,-0.18,-0.97,51.5392312,-0.0132283
2026-06-18T10:32:52.873255,+0.15,-0.18,-0.97,51.5392312,-0.0132283
2026-06-18T10:32:52.938194,+0.15,-0.18,-0.97,51.5392312,-0.0132283
2026-06-18T10:32:52.992310,+0.16,-0.18,-0.97,51.5392312,-0.0132283
2026-06-18T10:32:53.077553,+0.17,-0.17,-0.97,51.5392312,-0.0132283
2026-06-18T10:32:53.136236,+0.17,-0.18,-0.97,51.5392312,-0.0132283
2026-06-18T10:32:53.198245,+0.18,-0.21,-0.97,51.5392312,-0.0132283
2026-06-18T10:32:53.260721,+0.11,-0.18,-0.97,51.5392312,-0.0132283
2026-06-18T10:32:53.347610,+0.14,-0.15,-0.98,51.5392312,-0.0132283
2026-06-18T10:32:53.407481,+0.13,-0.17,-0.98,51.5392312,-0.0132283
2026-06-18T10:32:53.467471,+0.15,-0.17,-0.97,51.5392312,-0.0132283
2026-06-18T10:32:53.528745,+0.17,-0.15,-0.98,51.5392312,-0.0132283
2026-06-18T10:32:53.618316,+0.18,-0.14,-0.98,51.5392312,-0.0132283
2026-06-18T10:32:53.677240,+0.16,-0.16,-0.94,51.5392312,-0.0132283
2026-06-18T10:32:53.737678,+0.15,-0.18,-0.97,51.5392312,-0.0132283
2026-06-18T10:32:53.801068,+0.14,-0.18,-0.97,51.5392327,-0.0132239
2026-06-18T10:32:53.859242,+0.15,-0.19,-0.97,51.5392327,-0.0132239
2026-06-18T10:32:53.948447,+0.15,-0.20,-0.97,51.5392327,-0.0132239
2026-06-18T10:32:54.013608,+0.16,-0.18,-0.97,51.5392327,-0.0132239
2026-06-18T10:32:54.069512,+0.16,-0.18,-0.97,51.5392327,-0.0132239
2026-06-18T10:32:54.128642,+0.18,-0.16,-0.97,51.5392327,-0.0132239
2026-06-18T10:32:54.189355,+0.16,-0.17,-0.98,51.5392327,-0.0132239
2026-06-18T10:32:54.281824,+0.14,-0.18,-0.98,51.5392327,-0.0132239
2026-06-18T10:32:54.335655,+0.15,-0.18,-0.97,51.5392327,-0.0132239
2026-06-18T10:32:54.398336,+0.14,-0.18,-0.97,51.5392327,-0.0132239
2026-06-18T10:32:54.457433,+0.15,-0.17,-0.98,51.5392327,-0.0132239
2026-06-18T10:32:54.517656,+0.14,-0.18,-0.97,51.5392327,-0.0132239
2026-06-18T10:32:54.607951,+0.13,-0.16,-0.97,51.5392327,-0.0132239
2026-06-18T10:32:54.671675,+0.12,-0.17,-0.98,51.5392327,-0.0132239
2026-06-18T10:32:54.727473,+0.12,-0.16,-0.97,51.5392327,-0.0132239
2026-06-18T10:32:54.789428,+0.11,-0.13,-0.99,51.5392338,-0.0132219
2026-06-18T10:32:54.848209,+0.12,-0.12,-0.99,51.5392338,-0.0132219
2026-06-18T10:32:54.939613,+0.12,-0.15,-0.99,51.5392338,-0.0132219
2026-06-18T10:32:54.999746,+0.12,-0.17,-0.98,51.5392338,-0.0132219
2026-06-18T10:32:55.063342,+0.09,-0.18,-0.98,51.5392338,-0.0132219
2026-06-18T10:32:55.118093,+0.02,-0.25,-0.96,51.5392338,-0.0132219
2026-06-18T10:32:55.177871,+0.03,-0.44,-0.92,51.5392338,-0.0132219
2026-06-18T10:32:55.268935,+0.29,-0.27,-0.96,51.5392338,-0.0132219
2026-06-18T10:32:55.330048,+0.28,-0.37,-0.91,51.5392338,-0.0132219
2026-06-18T10:32:55.386389,+0.32,-0.36,-0.95,51.5392338,-0.0132219
2026-06-18T10:32:55.456158,+0.38,-0.25,-0.92,51.5392338,-0.0132219
2026-06-18T10:32:55.538179,+0.31,-0.25,-0.91,51.5392338,-0.0132219
2026-06-18T10:32:55.597128,+0.39,-0.19,-0.89,51.5392338,-0.0132219
2026-06-18T10:32:55.657497,+0.36,-0.24,-0.96,51.5392338,-0.0132219
2026-06-18T10:32:55.718445,+0.37,-0.39,-0.92,51.5392338,-0.0132219
2026-06-18T10:32:55.777041,+0.39,-0.22,-0.90,51.5392338,-0.0132219
2026-06-18T10:32:55.868850,+0.38,-0.44,-0.82,51.539238,-0.0132207
2026-06-18T10:32:55.927713,+0.46,-0.47,-0.94,51.539238,-0.0132207
2026-06-18T10:32:55.989746,+0.41,-0.10,-1.02,51.539238,-0.0132207
2026-06-18T10:32:56.048687,+0.08,-0.18,-1.04,51.539238,-0.0132207
2026-06-18T10:32:56.109398,-0.08,-0.28,-1.05,51.539238,-0.0132207
2026-06-18T10:32:56.199608,+0.18,+0.00,-0.99,51.539238,-0.0132207
2026-06-18T10:32:56.257272,+0.05,-0.20,-0.97,51.539238,-0.0132207
2026-06-18T10:32:56.317073,+0.06,-0.18,-0.91,51.539238,-0.0132207
2026-06-18T10:32:56.378609,+0.06,-0.18,-0.90,51.539238,-0.0132207
2026-06-18T10:32:56.441607,+0.17,-0.28,-0.96,51.539238,-0.0132207
2026-06-18T10:32:56.529617,+0.23,-0.22,-0.97,51.539238,-0.0132207
2026-06-18T10:32:56.587130,+0.15,+0.01,-1.07,51.539238,-0.0132207
