Timestamp,Acc_X,Acc_Y,Acc_Z,Latitude,Longitude
2026-06-18T10:35:14.354002,+0.14,-0.18,-0.97,51.5407871,-0.0141178
2026-06-18T10:35:14.443635,+0.13,-0.18,-0.97,51.5407871,-0.0141178
2026-06-18T10:35:14.500816,+0.13,-0.19,-0.97,51.5407871,-0.0141178
2026-06-18T10:35:14.559311,+0.13,-0.18,-0.97,51.5407871,-0.0141178
2026-06-18T10:35:14.616118,+0.13,-0.18,-0.97,51.5407871,-0.0141178
2026-06-18T10:35:14.684393,+0.13,-0.18,-0.97,51.5407871,-0.0141178
2026-06-18T10:35:14.766981,+0.14,-0.19,-0.97,51.5407871,-0.0141178
2026-06-18T10:35:14.830371,+0.13,-0.19,-0.97,51.5407876,-0.0141203
2026-06-18T10:35:14.889319,+0.12,-0.18,-0.97,51.5407876,-0.0141203
2026-06-18T10:35:14.950186,+0.11,-0.19,-0.97,51.5407876,-0.0141203
2026-06-18T10:35:15.041322,+0.12,-0.17,-0.97,51.5407876,-0.0141203
2026-06-18T10:35:15.097071,+0.14,-0.17,-0.98,51.5407876,-0.0141203
2026-06-18T10:35:15.159537,+0.13,-0.15,-0.98,51.5407876,-0.0141203
2026-06-18T10:35:15.219064,+0.14,-0.18,-0.97,51.5407876,-0.0141203
2026-06-18T10:35:15.280261,+0.13,-0.18,-0.97,51.5407876,-0.0141203
2026-06-18T10:35:15.368593,+0.12,-0.19,-0.98,51.5407876,-0.0141203
2026-06-18T10:35:15.429803,+0.11,-0.19,-0.96,51.5407876,-0.0141203
2026-06-18T10:35:15.489245,+0.13,-0.19,-0.97,51.5407876,-0.0141203
2026-06-18T10:35:15.548072,+0.15,-0.18,-0.98,51.5407876,-0.0141203
2026-06-18T10:35:15.609563,+0.15,-0.16,-0.97,51.5407876,-0.0141203
2026-06-18T10:35:15.699492,+0.16,-0.18,-0.97,51.5407876,-0.0141203
2026-06-18T10:35:15.756462,+0.15,-0.17,-0.98,51.5407876,-0.0141203
2026-06-18T10:35:15.817665,+0.15,-0.15,-0.98,51.5407884,-0.0141175
2026-06-18T10:35:15.881367,+0.13,-0.18,-0.96,51.5407884,-0.0141175
2026-06-18T10:35:15.940402,+0.13,-0.20,-0.96,51.5407884,-0.0141175
2026-06-18T10:35:16.030352,+0.15,-0.17,-0.98,51.5407884,-0.0141175
2026-06-18T10:35:16.088733,+0.15,-0.17,-0.98,51.5407884,-0.0141175
2026-06-18T10:35:16.148279,+0.17,-0.15,-0.97,51.5407884,-0.0141175
2026-06-18T10:35:16.210233,+0.16,-0.15,-0.97,51.5407884,-0.0141175
2026-06-18T10:35:16.269118,+0.18,-0.17,-0.97,51.5407884,-0.0141175
2026-06-18T10:35:16.358297,+0.12,-0.20,-0.97,51.5407884,-0.0141175
2026-06-18T10:35:16.417269,+0.17,-0.16,-0.97,51.5407884,-0.0141175
2026-06-18T10:35:16.477602,+0.15,-0.17,-0.98,51.5407884,-0.0141175
2026-06-18T10:35:16.538646,+0.14,-0.18,-0.97,51.5407884,-0.0141175
2026-06-18T10:35:16.599446,+0.14,-0.18,-0.97,51.5407884,-0.0141175
2026-06-18T10:35:16.689134,+0.13,-0.16,-0.97,51.5407884,-0.0141175
2026-06-18T10:35:16.747816,+0.14,-0.19,-0.98,51.5407884,-0.0141175
2026-06-18T10:35:16.807153,+0.11,-0.19,-0.97,51.5407879,-0.0141181
2026-06-18T10:35:16.868224,+0.09,-0.16,-0.97,51.5407879,-0.0141181
2026-06-18T10:35:16.929113,+0.07,-0.17,-0.98,51.5407879,-0.0141181
2026-06-18T10:35:17.019643,+0.10,-0.20,-0.97,51.5407879,-0.0141181
2026-06-18T10:35:17.078139,+0.06,-0.16,-0.98,51.5407879,-0.0141181
2026-06-18T10:35:17.138100,+0.09,-0.16,-0.97,51.5407879,-0.0141181
2026-06-18T10:35:17.198370,+0.09,-0.16,-0.98,51.5407879,-0.0141181
2026-06-18T10:35:17.288456,+0.07,-0.17,-0.98,51.5407879,-0.0141181
2026-06-18T10:35:17.348619,+0.09,-0.18,-0.97,51.5407879,-0.0141181
2026-06-18T10:35:17.407996,+0.16,-0.26,-0.94,51.5407879,-0.0141181
2026-06-18T10:35:17.468840,+0.13,-0.31,-0.95,51.5407879,-0.0141181
2026-06-18T10:35:17.528384,+0.26,-0.30,-0.92,51.5407879,-0.0141181
2026-06-18T10:35:17.617730,+0.29,-0.27,-0.93,51.5407879,-0.0141181
2026-06-18T10:35:17.678519,+0.28,-0.32,-0.94,51.5407879,-0.0141181
2026-06-18T10:35:17.739321,+0.14,-0.31,-0.94,51.5407879,-0.0141181
2026-06-18T10:35:17.799612,+0.22,-0.24,-0.97,51.5407865,-0.0141197
2026-06-18T10:35:17.858177,+0.26,-0.22,-0.93,51.5407865,-0.0141197
2026-06-18T10:35:17.949425,+0.31,-0.25,-0.93,51.5407865,-0.0141197
2026-06-18T10:35:18.006479,+0.25,-0.27,-0.95,51.5407865,-0.0141197
2026-06-18T10:35:18.068012,+0.26,-0.27,-0.93,51.5407865,-0.0141197
2026-06-18T10:35:18.130801,+0.37,-0.29,-0.91,51.5407865,-0.0141197
2026-06-18T10:35:18.189351,+0.38,-0.33,-0.92,51.5407865,-0.0141197
2026-06-18T10:35:18.277127,+0.33,-0.38,-0.94,51.5407865,-0.0141197
2026-06-18T10:35:18.337802,+0.34,-0.29,-0.91,51.5407865,-0.0141197
2026-06-18T10:35:18.397536,+0.32,-0.16,-0.97,51.5407865,-0.0141197
2026-06-18T10:35:18.459729,+0.23,-0.17,-0.93,51.5407865,-0.0141197
2026-06-18T10:35:18.518328,+0.05,-0.29,-0.94,51.5407865,-0.0141197
2026-06-18T10:35:18.607665,-0.02,-0.14,-1.07,51.5407865,-0.0141197
2026-06-18T10:35:18.668109,+0.16,+0.02,-1.02,51.5407865,-0.0141197
2026-06-18T10:35:18.727975,+0.03,-0.25,-0.89,51.5407865,-0.0141197
2026-06-18T10:35:18.787569,+0.13,-0.17,-0.92,51.5407865,-0.0141197
2026-06-18T10:35:18.849478,-0.02,-0.25,-1.01,51.54078,-0.014141
2026-06-18T10:35:18.937315,+0.13,-0.34,-0.96,51.54078,-0.014141
2026-06-18T10:35:18.999656,+0.20,-0.21,-0.96,51.54078,-0.014141
2026-06-18T10:35:19.059745,+0.13,-0.00,-0.99,51.54078,-0.014141
2026-06-18T10:35:19.119370,-0.01,-0.14,-0.97,51.54078,-0.014141
2026-06-18T10:35:19.211998,+0.21,-0.45,-1.02,51.54078,-0.014141
2026-06-18T10:35:19.269079,+0.18,-0.34,-1.02,51.54078,-0.014141
2026-06-18T10:35:19.328378,-0.01,-0.24,-0.97,51.54078,-0.014141
2026-06-18T10:35:19.388006,+0.20,-0.20,-0.98,51.54078,-0.014141
2026-06-18T10:35:19.448538,+0.11,-0.30,-0.98,51.54078,-0.014141
2026-06-18T10:35:19.538255,+0.17,-0.19,-0.99,51.54078,-0.014141
2026-06-18T10:35:19.601642,+0.19,-0.27,-0.88,51.54078,-0.014141
2026-06-18T10:35:19.659042,+0.11,-0.21,-0.92,51.54078,-0.014141
2026-06-18T10:35:19.718415,+0.07,-0.26,-1.02,51.54078,-0.014141
2026-06-18T10:35:19.776325,+0.06,-0.24,-1.13,51.54078,-0.014141
2026-06-18T10:35:19.868712,+0.14,-0.30,-0.93,51.5407747,-0.0141605
2026-06-18T10:35:19.930502,+0.18,-0.29,-0.89,51.5407747,-0.0141605
2026-06-18T10:35:19.990003,+0.17,-0.28,-0.98,51.5407747,-0.0141605
2026-06-18T10:35:20.048855,+0.12,-0.22,-0.87,51.5407747,-0.0141605
2026-06-18T10:35:20.107858,+0.09,-0.31,-1.04,51.5407747,-0.0141605
2026-06-18T10:35:20.196230,+0.14,-0.21,-0.99,51.5407747,-0.0141605
2026-06-18T10:35:20.257885,+0.04,-0.23,-0.94,51.5407747,-0.0141605
2026-06-18T10:35:20.320450,+0.04,-0.20,-0.86,51.5407747,-0.0141605
2026-06-18T10:35:20.379430,+0.03,-0.27,-0.81,51.5407747,-0.0141605
2026-06-18T10:35:20.437310,-0.00,-0.11,-0.99,51.5407747,-0.0141605
2026-06-18T10:35:20.527544,+0.19,-0.22,-1.06,51.5407747,-0.0141605
2026-06-18T10:35:20.588342,-0.02,-0.05,-0.90,51.5407747,-0.0141605
2026-06-18T10:35:20.650865,+0.09,-0.26,-0.95,51.5407747,-0.0141605
2026-06-18T10:35:20.710351,+0.06,-0.27,-0.97,51.5407747,-0.0141605
2026-06-18T10:35:20.767208,+0.07,-0.22,-0.76,51.5407747,-0.0141605
2026-06-18T10:35:20.858277,+0.19,-0.37,-0.92,51.5407748,-0.0141726
2026-06-18T10:35:20.919040,+0.15,-0.27,-0.97,51.5407748,-0.0141726
2026-06-18T10:35:20.979571,+0.13,-0.32,-1.00,51.5407748,-0.0141726
